dabs_path	tf_resource	tf_path	status
resources.alerts.*.create_time	databricks_alert_v2	create_time	match
resources.alerts.*.custom_description	databricks_alert_v2	custom_description	match
resources.alerts.*.custom_summary	databricks_alert_v2	custom_summary	match
resources.alerts.*.display_name	databricks_alert_v2	display_name	match
resources.alerts.*.effective_run_as	databricks_alert_v2	effective_run_as	match
resources.alerts.*.effective_run_as.service_principal_name	databricks_alert_v2	effective_run_as.service_principal_name	match
resources.alerts.*.effective_run_as.user_name	databricks_alert_v2	effective_run_as.user_name	match
resources.alerts.*.evaluation	databricks_alert_v2	evaluation	match
resources.alerts.*.evaluation.comparison_operator	databricks_alert_v2	evaluation.comparison_operator	match
resources.alerts.*.evaluation.empty_result_state	databricks_alert_v2	evaluation.empty_result_state	match
resources.alerts.*.evaluation.last_evaluated_at	databricks_alert_v2	evaluation.last_evaluated_at	match
resources.alerts.*.evaluation.notification	databricks_alert_v2	evaluation.notification	match
resources.alerts.*.evaluation.notification.notify_on_ok	databricks_alert_v2	evaluation.notification.notify_on_ok	match
resources.alerts.*.evaluation.notification.retrigger_seconds	databricks_alert_v2	evaluation.notification.retrigger_seconds	match
resources.alerts.*.evaluation.notification.subscriptions[*]	databricks_alert_v2	evaluation.notification.subscriptions	match
resources.alerts.*.evaluation.notification.subscriptions[*].destination_id	databricks_alert_v2	evaluation.notification.subscriptions.destination_id	match
resources.alerts.*.evaluation.notification.subscriptions[*].user_email	databricks_alert_v2	evaluation.notification.subscriptions.user_email	match
resources.alerts.*.evaluation.source	databricks_alert_v2	evaluation.source	match
resources.alerts.*.evaluation.source.aggregation	databricks_alert_v2	evaluation.source.aggregation	match
resources.alerts.*.evaluation.source.display	databricks_alert_v2	evaluation.source.display	match
resources.alerts.*.evaluation.source.name	databricks_alert_v2	evaluation.source.name	match
resources.alerts.*.evaluation.state	databricks_alert_v2	evaluation.state	match
resources.alerts.*.evaluation.threshold	databricks_alert_v2	evaluation.threshold	match
resources.alerts.*.evaluation.threshold.column	databricks_alert_v2	evaluation.threshold.column	match
resources.alerts.*.evaluation.threshold.column.aggregation	databricks_alert_v2	evaluation.threshold.column.aggregation	match
resources.alerts.*.evaluation.threshold.column.display	databricks_alert_v2	evaluation.threshold.column.display	match
resources.alerts.*.evaluation.threshold.column.name	databricks_alert_v2	evaluation.threshold.column.name	match
resources.alerts.*.evaluation.threshold.value	databricks_alert_v2	evaluation.threshold.value	match
resources.alerts.*.evaluation.threshold.value.bool_value	databricks_alert_v2	evaluation.threshold.value.bool_value	match
resources.alerts.*.evaluation.threshold.value.double_value	databricks_alert_v2	evaluation.threshold.value.double_value	match
resources.alerts.*.evaluation.threshold.value.string_value	databricks_alert_v2	evaluation.threshold.value.string_value	match
resources.alerts.*.file_path	databricks_alert_v2	file_path	dabs_only
resources.alerts.*.id	databricks_alert_v2	id	match
resources.alerts.*.lifecycle	databricks_alert_v2	lifecycle	dabs_only
resources.alerts.*.lifecycle.prevent_destroy	databricks_alert_v2	lifecycle.prevent_destroy	dabs_only
resources.alerts.*.lifecycle_state	databricks_alert_v2	lifecycle_state	match
resources.alerts.*.modified_status	databricks_alert_v2	modified_status	dabs_only
resources.alerts.*.owner_user_name	databricks_alert_v2	owner_user_name	match
resources.alerts.*.parent_path	databricks_alert_v2	parent_path	match
resources.alerts.*.permissions[*]	databricks_alert_v2	permissions	dabs_only
resources.alerts.*.permissions[*].group_name	databricks_alert_v2	permissions.group_name	dabs_only
resources.alerts.*.permissions[*].level	databricks_alert_v2	permissions.level	dabs_only
resources.alerts.*.permissions.object_id	databricks_alert_v2	permissions.object_id	dabs_only
resources.alerts.*.permissions[*].service_principal_name	databricks_alert_v2	permissions.service_principal_name	dabs_only
resources.alerts.*.permissions[*].user_name	databricks_alert_v2	permissions.user_name	dabs_only
resources.alerts.*.query_text	databricks_alert_v2	query_text	match
resources.alerts.*.run_as	databricks_alert_v2	run_as	match
resources.alerts.*.run_as.service_principal_name	databricks_alert_v2	run_as.service_principal_name	match
resources.alerts.*.run_as.user_name	databricks_alert_v2	run_as.user_name	match
resources.alerts.*.run_as_user_name	databricks_alert_v2	run_as_user_name	match
resources.alerts.*.schedule	databricks_alert_v2	schedule	match
resources.alerts.*.schedule.pause_status	databricks_alert_v2	schedule.pause_status	match
resources.alerts.*.schedule.quartz_cron_schedule	databricks_alert_v2	schedule.quartz_cron_schedule	match
resources.alerts.*.schedule.timezone_id	databricks_alert_v2	schedule.timezone_id	match
resources.alerts.*.update_time	databricks_alert_v2	update_time	match
resources.alerts.*.url	databricks_alert_v2	url	dabs_only
resources.alerts.*.warehouse_id	databricks_alert_v2	warehouse_id	match
?	databricks_alert_v2	evaluation.notification.effective_notify_on_ok	tf_only
?	databricks_alert_v2	evaluation.notification.effective_retrigger_seconds	tf_only
?	databricks_alert_v2	purge_on_delete	tf_only
resources.apps.*.active_deployment	databricks_app	active_deployment	match
resources.apps.*.active_deployment.command[*]	databricks_app	active_deployment.command	match
resources.apps.*.active_deployment.create_time	databricks_app	active_deployment.create_time	match
resources.apps.*.active_deployment.creator	databricks_app	active_deployment.creator	match
resources.apps.*.active_deployment.deployment_artifacts	databricks_app	active_deployment.deployment_artifacts	match
resources.apps.*.active_deployment.deployment_artifacts.source_code_path	databricks_app	active_deployment.deployment_artifacts.source_code_path	match
resources.apps.*.active_deployment.deployment_id	databricks_app	active_deployment.deployment_id	match
resources.apps.*.active_deployment.env_vars[*]	databricks_app	active_deployment.env_vars	match
resources.apps.*.active_deployment.env_vars[*].name	databricks_app	active_deployment.env_vars.name	match
resources.apps.*.active_deployment.env_vars[*].value	databricks_app	active_deployment.env_vars.value	match
resources.apps.*.active_deployment.env_vars[*].value_from	databricks_app	active_deployment.env_vars.value_from	match
resources.apps.*.active_deployment.git_source	databricks_app	active_deployment.git_source	match
resources.apps.*.active_deployment.git_source.branch	databricks_app	active_deployment.git_source.branch	match
resources.apps.*.active_deployment.git_source.commit	databricks_app	active_deployment.git_source.commit	match
resources.apps.*.active_deployment.git_source.git_repository	databricks_app	active_deployment.git_source.git_repository	match
resources.apps.*.active_deployment.git_source.git_repository.provider	databricks_app	active_deployment.git_source.git_repository.provider	match
resources.apps.*.active_deployment.git_source.git_repository.url	databricks_app	active_deployment.git_source.git_repository.url	match
resources.apps.*.active_deployment.git_source.resolved_commit	databricks_app	active_deployment.git_source.resolved_commit	match
resources.apps.*.active_deployment.git_source.source_code_path	databricks_app	active_deployment.git_source.source_code_path	match
resources.apps.*.active_deployment.git_source.tag	databricks_app	active_deployment.git_source.tag	match
resources.apps.*.active_deployment.mode	databricks_app	active_deployment.mode	match
resources.apps.*.active_deployment.source_code_path	databricks_app	active_deployment.source_code_path	match
resources.apps.*.active_deployment.status	databricks_app	active_deployment.status	match
